zone1,zone2
2,30
2,132
3,32
3,51
3,81
3,184
3,185
3,242
3,254
4,79
4,148
4,224
4,232
5,84
5,99
5,204
6,115
6,118
6,214
6,221
7,146
7,179
7,193
7,207
7,223
7,226
7,260
8,179
8,223
9,16
9,73
9,98
9,121
9,171
9,192
10,205
10,215
10,216
10,218
10,219
11,14
11,22
11,67
12,13
12,88
12,261
13,231
13,261
14,67
14,227
14,228
15,16
15,171
15,252
16,64
16,98
16,171
16,175
17,37
17,49
17,61
17,80
17,217
17,225
18,20
18,94
18,136
18,174
18,241
19,64
19,101
19,175
19,191
20,31
20,47
20,78
20,94
20,174
21,22
21,26
21,108
21,123
21,178
22,26
22,67
23,99
23,118
23,156
23,187
23,251
24,41
24,43
24,151
24,166
25,33
25,40
25,52
25,65
25,97
25,106
25,181
26,67
26,89
26,111
26,133
26,178
26,227
27,201
28,93
28,121
28,130
28,131
28,134
28,135
28,197
29,55
29,108
29,123
29,150
29,210
31,32
31,78
31,174
31,185
31,240
31,242
31,254
32,185
32,254
33,52
33,54
33,65
33,66
34,49
34,66
34,97
34,217
34,256
35,61
35,72
35,76
35,77
35,177
36,37
36,80
36,96
36,198
37,63
37,80
37,96
37,177
37,225
38,139
38,191
38,203
38,205
39,72
39,76
39,91
39,155
39,222
40,52
40,54
40,106
40,195
40,228
41,42
41,43
41,74
41,75
41,152
41,166
42,74
42,116
42,120
42,152
42,166
43,75
43,142
43,151
43,163
43,236
43,237
43,238
43,239
44,84
44,99
44,204
45,144
45,148
45,209
45,231
45,232
47,59
47,69
47,78
47,94
47,167
47,169
48,50
48,68
48,100
48,142
48,143
48,163
48,230
48,246
49,61
49,97
49,189
49,217
50,142
50,143
50,246
51,81
51,184
52,54
53,92
53,138
53,252
54,195
55,108
56,57
56,82
56,93
56,95
56,173
56,196
57,93
57,173
58,184
58,208
59,60
59,78
59,167
60,78
60,126
60,167
60,212
60,213
60,242
60,248
61,62
61,72
61,177
61,189
61,225
62,72
62,188
62,189
62,190
63,76
63,96
63,124
63,177
63,180
63,258
64,101
64,175
65,66
65,97
66,97
67,227
68,90
68,100
68,158
68,186
68,246
68,249
69,159
69,167
69,168
69,169
69,247
70,93
70,129
70,138
70,173
71,72
71,85
71,89
71,91
71,188
72,76
72,91
72,188
73,92
73,171
73,192
74,75
74,194
75,236
75,262
75,263
76,77
76,124
76,177
76,222
77,177
78,242
79,107
79,113
79,114
79,148
79,224
79,232
79,234
80,112
80,157
80,198
80,217
80,255
80,256
81,184
81,254
81,259
82,83
82,129
82,157
82,160
82,173
82,196
83,129
83,157
83,260
84,99
84,109
84,118
84,204
85,89
85,188
86,117
87,88
87,209
87,261
88,261
89,91
89,133
89,165
89,178
89,188
89,190
89,257
90,113
90,186
90,234
90,249
91,149
91,155
91,165
92,93
92,171
92,192
92,252
92,253
93,95
93,134
93,135
93,138
93,173
93,192
93,253
94,136
94,169
94,235
95,96
95,102
95,134
95,196
96,102
96,134
96,197
96,198
96,258
97,181
97,189
98,121
98,131
98,175
98,191
98,192
99,109
99,118
99,204
100,161
100,164
100,186
100,230
102,160
102,196
102,198
106,181
106,195
106,228
107,113
107,137
107,164
107,170
107,224
107,234
108,123
109,110
109,118
109,176
110,176
111,133
111,227
111,228
111,257
112,255
113,114
113,234
113,249
114,125
114,144
114,211
114,249
115,118
115,221
115,245
115,251
116,120
116,152
116,244
117,201
118,172
118,176
118,214
118,251
119,235
119,247
120,127
120,243
120,244
121,131
121,135
121,192
122,130
122,131
122,191
122,205
123,149
123,165
123,178
123,210
124,132
124,180
124,216
125,158
125,211
125,231
125,249
126,147
126,167
126,168
126,212
126,213
127,128
127,243
128,220
128,243
129,138
129,173
129,207
129,223
129,260
130,131
130,134
130,197
130,205
130,215
130,216
131,175
131,191
132,203
132,216
132,219
133,257
134,197
135,192
136,153
136,220
136,235
136,241
137,170
137,224
137,233
138,199
138,223
139,203
139,205
139,218
139,219
140,141
140,229
140,262
140,263
141,162
141,229
141,236
141,237
141,262
141,263
142,143
142,163
142,239
143,239
144,148
144,211
144,231
145,146
145,193
145,226
146,193
146,226
147,159
147,167
147,168
148,232
149,154
149,155
149,165
149,210
150,154
150,210
151,238
152,166
153,220
154,155
154,210
156,187
157,160
157,198
157,226
157,260
158,246
158,249
159,167
159,168
160,196
160,198
161,162
161,163
161,164
161,170
161,230
162,163
162,170
162,229
162,233
162,237
163,230
163,237
164,170
164,186
164,230
164,234
165,178
168,247
169,235
169,247
170,233
170,234
171,252
172,176
172,214
174,240
174,241
175,191
177,225
179,193
179,223
180,197
180,216
180,258
181,189
181,190
181,228
181,257
182,212
182,242
182,248
182,250
183,184
183,208
183,242
184,208
184,242
185,242
186,234
187,206
187,251
188,190
189,190
190,257
191,205
195,228
197,215
197,216
197,258
200,220
200,240
203,219
205,215
205,218
206,221
206,245
206,251
207,223
207,260
208,213
208,242
208,250
209,231
209,261
211,231
212,213
212,248
212,250
213,250
215,216
216,219
217,256
218,219
220,240
220,241
221,245
226,260
227,228
228,257
229,233
229,237
231,261
234,249
235,247
236,237
236,263
238,239
240,241
240,254
240,259
242,248
242,250
243,244
245,251
254,259
255,256
262,263
