,medallion, hack_license, vendor_id, rate_code, store_and_fwd_flag, pickup_datetime, dropoff_datetime, passenger_count, trip_time_in_secs, trip_distance, pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude,pickup_taxizone_id,dropoff_taxizone_id
0,2010000001,2010000001,VTS,1,,2010-01-01 00:00:00,2010-01-01 00:34:00,1,34.0,14.05,-73.948418,40.72459,-73.92614,40.864761,112,127.0
16351,2010000001,2010000001,VTS,1,,2010-01-01 00:38:00,2010-01-01 00:55:00,3,17.0,4.81,-73.924988,40.861774,-73.925735,40.809376,243,168.0
30295,2010000001,2010000001,VTS,1,,2010-01-01 01:03:00,2010-01-01 01:13:00,2,10.0,2.3,-73.937386,40.797436,-73.968666,40.794395,74,151.0
36468,2010000001,2010000001,VTS,1,,2010-01-01 01:14:00,2010-01-01 01:18:00,2,4.0,0.76,-73.968666,40.794495,-73.961273,40.79657,151,151.0
308897,2010000001,2010000001,VTS,1,,2010-01-01 18:42:00,2010-01-01 19:10:00,1,28.0,17.74,-73.783813,40.648659,-73.971901,40.693054,132,97.0
335196,2010000001,2010000001,VTS,1,,2010-01-01 20:04:00,2010-01-01 20:48:00,1,44.0,18.2,-73.788696,40.641308,-73.985748,40.759399,132,230.0
347365,2010000001,2010000001,VTS,1,,2010-01-01 20:49:00,2010-01-01 20:59:00,2,10.0,2.52,-73.986237,40.759514,-73.990334,40.736927,230,234.0
391885,2010000001,2010000001,VTS,1,,2010-01-01 23:24:00,2010-01-01 23:32:00,1,8.0,3.73,-73.776588,40.644917,-73.80603,40.665817,132,216.0
649110,2010000001,2010000001,VTS,1,,2010-01-02 18:00:00,2010-01-02 18:53:00,2,53.0,21.27,-73.776703,40.645378,-73.978172,40.776268,132,142.0
675167,2010000001,2010000001,VTS,1,,2010-01-02 18:57:00,2010-01-02 19:07:00,2,10.0,1.76,-73.981781,40.773548,-73.967918,40.75563,142,229.0
681067,2010000001,2010000001,VTS,1,,2010-01-02 19:09:00,2010-01-02 19:27:00,4,18.0,0.92,-73.969879,40.756321,-73.986107,40.763336,229,48.0
735432,2010000001,2010000001,VTS,1,,2010-01-02 21:08:00,2010-01-02 21:42:00,2,34.0,17.46,-73.789909,40.646767,-73.99118,40.74453,132,234.0
750891,2010000001,2010000001,VTS,1,,2010-01-02 21:45:00,2010-01-02 21:52:00,1,7.0,1.2,-73.990898,40.744366,-73.993546,40.730515,234,113.0
754412,2010000001,2010000001,VTS,1,,2010-01-02 21:53:00,2010-01-02 22:03:00,1,10.0,1.39,-73.993683,40.73011,-74.006447,40.741409,113,68.0
761568,2010000001,2010000001,VTS,1,,2010-01-02 22:09:00,2010-01-02 22:24:00,4,15.0,3.7,-74.005035,40.740807,-73.963081,40.766346,68,141.0
773272,2010000001,2010000001,VTS,1,,2010-01-02 22:35:00,2010-01-02 22:46:00,3,11.0,2.1,-73.97805,40.763554,-73.992111,40.738789,163,234.0
783502,2010000001,2010000001,VTS,1,,2010-01-02 22:57:00,2010-01-02 23:02:00,4,5.0,1.19,-73.991112,40.750957,-74.002029,40.734989,186,249.0
787637,2010000001,2010000001,VTS,1,,2010-01-02 23:06:00,2010-01-02 23:15:00,2,9.0,1.44,-74.006233,40.733356,-73.989777,40.725777,249,79.0
794094,2010000001,2010000001,VTS,1,,2010-01-02 23:20:00,2010-01-02 23:32:00,2,12.0,2.29,-73.997894,40.729424,-73.990791,40.75074,114,186.0
802600,2010000001,2010000001,VTS,1,,2010-01-02 23:39:00,2010-01-02 23:45:00,1,6.0,1.21,-73.992233,40.749744,-73.983253,40.758324,186,230.0
805888,2010000001,2010000001,VTS,1,,2010-01-02 23:46:00,2010-01-02 23:51:00,4,5.0,0.64,-73.985268,40.758049,-73.991379,40.750023,230,186.0
813356,2010000001,2010000001,VTS,1,,2010-01-03 00:02:00,2010-01-03 00:09:00,1,7.0,1.9,-73.974297,40.763172,-73.957977,40.782063,163,236.0
1472186,2010000001,2010000001,VTS,1,,2010-01-04 17:59:00,2010-01-04 18:41:00,1,42.0,18.25,-73.78437,40.648624,-73.96875,40.764469,132,237.0
1494632,2010000001,2010000001,VTS,1,,2010-01-04 18:46:00,2010-01-04 18:50:00,1,4.0,0.8,-73.969543,40.762955,-73.957787,40.761971,237,140.0
1546561,2010000001,2010000001,VTS,1,,2010-01-04 20:46:00,2010-01-04 21:21:00,4,35.0,20.42,-73.776802,40.645229,-73.994774,40.695625,132,33.0
1579119,2010000001,2010000001,VTS,1,,2010-01-04 22:25:00,2010-01-04 22:52:00,2,27.0,19.19,-73.781906,40.644794,-73.951843,40.778919,132,263.0
1912631,2010000001,2010000001,VTS,1,,2010-01-05 18:30:00,2010-01-05 19:14:00,2,44.0,18.59,-73.777016,40.646263,-73.983635,40.758327,132,230.0
1936187,2010000001,2010000001,VTS,1,,2010-01-05 19:14:00,2010-01-05 19:33:00,3,19.0,4.83,-73.983139,40.759319,-73.936203,40.811768,230,74.0
1982796,2010000001,2010000001,VTS,1,,2010-01-05 20:53:00,2010-01-05 21:26:00,1,33.0,20.07,-73.782143,40.644749,-73.96994,40.797062,132,151.0
2044422,2010000001,2010000001,VTS,1,,2010-01-05 23:50:00,2010-01-06 00:13:00,1,23.0,17.25,-73.789444,40.647366,-73.963142,40.754238,132,229.0
2054935,2010000001,2010000001,VTS,1,,2010-01-06 00:44:00,2010-01-06 00:55:00,1,11.0,4.01,-73.972916,40.762005,-73.943047,40.811031,163,42.0
2399767,2010000001,2010000001,VTS,1,,2010-01-06 19:27:00,2010-01-06 19:55:00,1,28.0,17.7,-73.781876,40.644787,-73.975929,40.740379,132,137.0
