,zone,time_window,weekday_pickup,weekend_pickup,weekday_dropoff,weekend_dropoff,weekday_differentials,weekend_differentials,supply_surplus_weekday,supply_surplus_weekend
0,1,1,0,0,5,1,5,1,True,True
1,1,2,0,0,9,5,9,5,True,True
2,1,3,0,0,13,2,13,2,True,True
3,1,4,0,0,9,2,9,2,True,True
4,1,5,0,0,8,4,8,4,True,True
5,1,6,1,0,11,7,10,7,True,True
6,1,7,0,0,17,8,17,8,True,True
7,1,8,0,0,52,21,52,21,True,True
8,1,9,0,0,98,47,98,47,True,True
9,1,10,0,0,237,78,237,78,True,True
10,1,11,1,2,371,125,370,123,True,True
11,1,12,5,1,538,159,533,158,True,True
12,1,13,3,0,496,176,493,176,True,True
13,1,14,3,0,451,185,448,185,True,True
14,1,15,1,1,401,202,400,201,True,True
15,1,16,2,0,291,154,289,154,True,True
16,1,17,0,0,271,164,271,164,True,True
17,1,18,5,0,293,168,288,168,True,True
18,1,19,0,0,289,158,289,158,True,True
19,1,20,2,1,323,162,321,161,True,True
20,1,21,0,0,313,141,313,141,True,True
21,1,22,0,1,372,172,372,171,True,True
22,1,23,0,0,316,159,316,159,True,True
23,1,24,1,1,379,178,378,177,True,True
24,1,25,0,0,324,152,324,152,True,True
25,1,26,3,0,399,190,396,190,True,True
26,1,27,2,0,374,154,372,154,True,True
27,1,28,1,0,492,195,491,195,True,True
28,1,29,1,1,502,228,501,227,True,True
29,1,30,2,1,558,301,556,300,True,True
30,1,31,1,0,636,326,635,326,True,True
31,1,32,1,3,661,362,660,359,True,True
32,1,33,0,0,590,320,590,320,True,True
33,1,34,3,1,411,294,408,293,True,True
34,1,35,3,0,334,227,331,227,True,True
35,1,36,2,1,272,188,270,187,True,True
36,1,37,0,1,267,179,267,178,True,True
37,1,38,2,1,269,188,267,187,True,True
38,1,39,1,0,276,131,275,131,True,True
39,1,40,1,0,216,110,215,110,True,True
40,1,41,0,1,128,53,128,52,True,True
41,1,42,0,1,93,45,93,44,True,True
42,1,43,1,2,64,28,63,26,True,True
43,1,44,0,0,41,12,41,12,True,True
44,1,45,0,0,22,6,22,6,True,True
45,1,46,0,1,15,6,15,5,True,True
46,1,47,1,0,13,5,12,5,True,True
47,1,48,0,0,11,1,11,1,True,True
48,2,1,1,0,2,0,1,0,True,False
49,2,2,0,0,0,0,0,0,False,False
50,2,3,0,0,0,0,0,0,False,False
51,2,4,0,0,0,0,0,0,False,False
52,2,5,0,0,0,0,0,0,False,False
53,2,6,0,0,0,0,0,0,False,False
54,2,7,0,0,0,0,0,0,False,False
55,2,8,0,0,0,0,0,0,False,False
56,2,9,0,0,0,0,0,0,False,False
57,2,10,0,0,0,0,0,0,False,False
58,2,11,0,0,0,0,0,0,False,False
59,2,12,0,0,0,0,0,0,False,False
60,2,13,0,0,1,0,1,0,True,False
61,2,14,0,0,0,0,0,0,False,False
62,2,15,0,0,0,0,0,0,False,False
63,2,16,0,0,0,0,0,0,False,False
64,2,17,0,0,0,1,0,1,False,True
65,2,18,0,0,0,0,0,0,False,False
66,2,19,0,0,0,0,0,0,False,False
67,2,20,0,0,0,0,0,0,False,False
68,2,21,0,0,0,0,0,0,False,False
69,2,22,0,0,0,0,0,0,False,False
70,2,23,1,1,1,0,0,-1,False,False
71,2,24,0,0,0,0,0,0,False,False
72,2,25,0,0,0,0,0,0,False,False
73,2,26,0,0,0,0,0,0,False,False
74,2,27,0,0,0,0,0,0,False,False
75,2,28,0,0,0,0,0,0,False,False
76,2,29,0,0,1,0,1,0,True,False
77,2,30,0,0,0,0,0,0,False,False
78,2,31,0,0,0,0,0,0,False,False
79,2,32,0,0,0,0,0,0,False,False
80,2,33,0,0,2,0,2,0,True,False
81,2,34,0,0,0,0,0,0,False,False
82,2,35,0,0,0,1,0,1,False,True
