Unnamed: 0,taxi_zone,time_stamp,time_interval,arr_weekday,arr_weekend,avg_weekday,avg_weekend,prob_pu_weekday,prob_pu_weekend,c_pu_weekday,c_pu_weekend,prob_near_arr_weekday,prob_near_arr_weekend,Unnamed: 0.1,zone,time_window,weekday_pickup,weekend_pickup,weekday_dropoff,weekend_dropoff,weekday_differentials,weekend_differentials,supply_surplus_weekday,supply_surplus_weekend,vacant_weekday,prob_no_vacant_weekday,vacant_weekend,prob_no_vacant_weekend,prob_match_weekday,prob_match_weekend,mod_prob_match_weekday,mod_prob_match_weekend
0,1,1,00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1,1,0,0,5,1,5,1,True,True,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,1,2,00:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1,2,0,0,9,5,9,5,True,True,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,1,3,01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2,1,3,0,0,13,2,13,2,True,True,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,1,4,01:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,1,4,0,0,9,2,9,2,True,True,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,1,5,02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4,1,5,0,0,8,4,8,4,True,True,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,1,6,02:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5,1,6,1,0,11,7,10,7,True,True,0.9090909090909092,0.0909090909090909,1.0,0.0,0.0,0.0,0.0,0.0
6,1,7,03:00:00,1.000000000000004,0.0,0.05,0.0,0.6321205588285592,0.0,20.00000000000008,0.0,1.0,1.0,6,1,7,0,0,17,8,17,8,True,True,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7,1,8,03:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7,1,8,0,0,52,21,52,21,True,True,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,1,9,04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8,1,9,0,0,98,47,98,47,True,True,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,1,10,04:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9,1,10,0,0,237,78,237,78,True,True,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
